population	links	index	origin_mean	origing_error	destination_mean	destination_error
886453	8000	108	0.149604	0.00294904	0.16995	0.00436547
886453	8000	109	0.147839	0.00610188	0.0492841	0.00444673
886453	8000	110	0.193258	0.00159806	0.112603	0.002581
886453	8000	111	0.183067	0.00224532	0.120137	0.00304005
886453	8000	112	0.207719	0.00212705	0.213004	0.0042366
886453	8000	113	0.217474	0.00322341	0.0811096	0.00315879
886453	8000	114	0.171008	0.00220132	0.267575	0.00740321
886453	8000	115	0.208516	0.00237218	0.0797767	0.00191271
886453	8000	116	0.183459	0.00296965	0.0998103	0.00532991
886453	8000	117	0.248483	0.00320866	0.0558029	0.00130909
886453	8000	118	0.11992	0.00362863	0.0649737	0.00284743
886453	8000	119	0.214772	0.00230936	0.0997646	0.00335566
886453	8000	120	0.209617	0.00372502	0.0746522	0.00282905
886453	8000	121	0.210881	0.00250819	0.213253	0.00447861
886453	8000	122	0.0423941	0.00404912	0.0511551	0.0083146
886453	8000	123	0.145182	0.00265849	0.0552342	0.00124695
886453	8000	124	0.187784	0.00282731	0.138723	0.00268883
886453	8000	125	0.196896	0.00158225	0.101648	0.0022449
886453	8000	126	0.16824	0.00199161	0.0635248	0.00172912
886453	8000	127	0.225869	0.00275813	0.0967136	0.00243571
886453	8000	128	0.196559	0.0024137	0.0804826	0.00165273
886453	8000	129	0.162581	0.00206512	0.0605861	0.00142168
886453	8000	130	0.181882	0.00138283	0.128285	0.0033183
886453	8000	131	0.159246	0.00266466	0.068063	0.00216147
886453	8000	132	0.185926	0.00423216	0.13758	0.00557285
886453	8000	133	0.170561	0.00290305	0.146176	0.00333228
886453	8000	134	0.160331	0.00227234	0.187413	0.00579132
886453	8000	135	0.197571	0.00265051	0.100987	0.0030854
886453	8000	136	0.166239	0.00248743	0.0901529	0.00189535
886453	8000	137	0.148081	0.00119115	0.106398	0.00226692
886453	8000	138	0.194673	0.00192699	0.0711916	0.00198937
886453	8000	139	0.247164	0.00473644	0.0926097	0.00373916
886453	8000	140	0.243842	0.0033324	0.0989187	0.00304433
886453	8000	141	0.187219	0.0051984	0.0746021	0.00204151
886453	8000	142	0.230795	0.00326766	0.129788	0.00380939
886453	8000	143	0.13011	0.00434504	0.297505	0.00711121
886453	8000	144	0.148635	0.00199632	0.0519894	0.00183705
886453	8000	145	0.155115	0.00341234	0.0809769	0.00156359
886453	8000	146	0.122238	0.00548849	0.0476751	0.00213238
886453	8000	147	0.090535	0.0164572	0.0436663	0.00231944
886453	8000	148	0.149653	0.00241504	0.0599498	0.00176103
886453	8000	149	0.25642	0.00371482	0.056587	0.00201028
