i: 43, j: 329, I: 43, J: 52
i: 58, j: 330, I: 43, J: 97
i: 43, j: 790, I: 43, J: 97
i: 43, j: 329, I: 43, J: 97
i: 43, j: 329, I: 44, J: 52
i: 45, j: 329, I: 44, J: 52
i: 43, j: 329, I: 44, J: 97
i: 45, j: 329, I: 44, J: 97
i: 43, j: 790, I: 44, J: 97
i: 19, j: 329, I: 45, J: 52
i: 18, j: 323, I: 45, J: 52
i: 45, j: 329, I: 45, J: 52
i: 18, j: 324, I: 45, J: 52
i: 39, j: 321, I: 45, J: 52
i: 39, j: 329, I: 45, J: 52
i: 20, j: 329, I: 45, J: 52
i: 41, j: 324, I: 45, J: 52
i: 18, j: 325, I: 45, J: 52
i: 44, j: 329, I: 45, J: 52
i: 20, j: 329, I: 45, J: 97
i: 39, j: 329, I: 45, J: 97
i: 45, j: 329, I: 45, J: 97
i: 44, j: 329, I: 45, J: 97
i: 18, j: 324, I: 45, J: 97
i: 41, j: 324, I: 45, J: 97
i: 19, j: 329, I: 45, J: 97
i: 794, j: 324, I: 46, J: 52
i: 794, j: 321, I: 46, J: 52
i: 794, j: 322, I: 46, J: 52
i: 308, j: 334, I: 46, J: 52
i: 794, j: 329, I: 46, J: 52
i: 308, j: 324, I: 46, J: 52
i: 308, j: 325, I: 46, J: 52
i: 308, j: 329, I: 46, J: 52
i: 794, j: 334, I: 46, J: 52
i: 794, j: 327, I: 46, J: 97
i: 794, j: 324, I: 46, J: 97
i: 308, j: 790, I: 46, J: 97
i: 308, j: 330, I: 46, J: 97
i: 308, j: 329, I: 46, J: 97
i: 308, j: 327, I: 46, J: 97
i: 308, j: 324, I: 46, J: 97
i: 794, j: 329, I: 46, J: 97
i: 794, j: 324, I: 47, J: 52
i: 794, j: 321, I: 47, J: 52
i: 277, j: 323, I: 47, J: 52
i: 311, j: 326, I: 47, J: 52
i: 794, j: 329, I: 47, J: 52
i: 794, j: 334, I: 47, J: 52
i: 311, j: 323, I: 47, J: 52
i: 277, j: 329, I: 47, J: 52
i: 277, j: 324, I: 47, J: 52
i: 794, j: 322, I: 47, J: 52
i: 794, j: 327, I: 47, J: 97
i: 794, j: 329, I: 47, J: 97
i: 311, j: 326, I: 47, J: 97
i: 794, j: 324, I: 47, J: 97
i: 277, j: 324, I: 47, J: 97
i: 277, j: 327, I: 47, J: 97
i: 277, j: 329, I: 47, J: 97
i: 730, j: 334, I: 49, J: 52
i: 311, j: 326, I: 49, J: 52
i: 311, j: 323, I: 49, J: 52
i: 315, j: 329, I: 49, J: 52
i: 315, j: 322, I: 49, J: 52
i: 753, j: 322, I: 49, J: 52
i: 753, j: 321, I: 49, J: 52
i: 315, j: 329, I: 49, J: 97
i: 311, j: 326, I: 49, J: 97
i: 316, j: 326, I: 50, J: 52
i: 317, j: 322, I: 50, J: 52
i: 315, j: 322, I: 50, J: 52
i: 315, j: 329, I: 50, J: 52
i: 316, j: 323, I: 50, J: 52
i: 316, j: 325, I: 50, J: 52
i: 316, j: 326, I: 50, J: 97
i: 315, j: 329, I: 50, J: 97
i: 316, j: 323, I: 51, J: 52
i: 316, j: 325, I: 51, J: 52
i: 316, j: 326, I: 51, J: 52
i: 318, j: 334, I: 51, J: 52
i: 262, j: 321, I: 51, J: 52
i: 789, j: 321, I: 51, J: 52
i: 262, j: 324, I: 51, J: 52
i: 318, j: 324, I: 51, J: 52
i: 789, j: 334, I: 51, J: 52
i: 262, j: 326, I: 51, J: 52
i: 262, j: 329, I: 51, J: 52
i: 262, j: 322, I: 51, J: 52
i: 318, j: 329, I: 51, J: 52
i: 789, j: 323, I: 51, J: 52
i: 789, j: 322, I: 51, J: 52
i: 319, j: 323, I: 51, J: 52
i: 319, j: 334, I: 51, J: 52
i: 319, j: 324, I: 51, J: 52
i: 319, j: 321, I: 51, J: 52
i: 789, j: 327, I: 51, J: 97
i: 316, j: 326, I: 51, J: 97
i: 319, j: 324, I: 51, J: 97
i: 789, j: 790, I: 51, J: 97
i: 318, j: 324, I: 51, J: 97
i: 262, j: 790, I: 51, J: 97
i: 318, j: 329, I: 51, J: 97
i: 262, j: 329, I: 51, J: 97
i: 262, j: 326, I: 51, J: 97
i: 262, j: 324, I: 51, J: 97
i: 326, j: 540, I: 52, J: 0
i: 324, j: 540, I: 52, J: 0
i: 324, j: 538, I: 52, J: 1
i: 329, j: 748, I: 52, J: 1
i: 329, j: 542, I: 52, J: 1
i: 324, j: 540, I: 52, J: 2
i: 326, j: 540, I: 52, J: 2
i: 329, j: 112, I: 52, J: 3
i: 324, j: 187, I: 52, J: 3
i: 329, j: 173, I: 52, J: 3
i: 329, j: 187, I: 52, J: 3
i: 324, j: 112, I: 52, J: 3
i: 334, j: 173, I: 52, J: 3
i: 324, j: 175, I: 52, J: 3
i: 322, j: 120, I: 52, J: 5
i: 329, j: 121, I: 52, J: 5
i: 334, j: 121, I: 52, J: 5
i: 329, j: 168, I: 52, J: 5
i: 329, j: 169, I: 52, J: 5
i: 322, j: 166, I: 52, J: 6
i: 323, j: 124, I: 52, J: 6
i: 324, j: 125, I: 52, J: 6
i: 329, j: 121, I: 52, J: 6
i: 324, j: 166, I: 52, J: 6
i: 329, j: 166, I: 52, J: 6
i: 329, j: 168, I: 52, J: 6
i: 324, j: 124, I: 52, J: 6
i: 325, j: 125, I: 52, J: 6
i: 334, j: 121, I: 52, J: 6
i: 321, j: 166, I: 52, J: 6
i: 324, j: 205, I: 52, J: 10
i: 323, j: 205, I: 52, J: 10
i: 322, j: 213, I: 52, J: 10
i: 321, j: 205, I: 52, J: 10
i: 321, j: 208, I: 52, J: 10
i: 334, j: 205, I: 52, J: 10
i: 324, j: 211, I: 52, J: 10
i: 329, j: 212, I: 52, J: 10
i: 324, j: 211, I: 52, J: 11
i: 323, j: 209, I: 52, J: 11
i: 321, j: 208, I: 52, J: 11
i: 325, j: 209, I: 52, J: 11
i: 321, j: 219, I: 52, J: 11
i: 321, j: 227, I: 52, J: 14
i: 324, j: 233, I: 52, J: 14
i: 324, j: 231, I: 52, J: 14
i: 325, j: 233, I: 52, J: 14
i: 322, j: 227, I: 52, J: 14
i: 326, j: 232, I: 52, J: 14
i: 326, j: 231, I: 52, J: 14
i: 325, j: 221, I: 52, J: 14
i: 321, j: 233, I: 52, J: 14
i: 324, j: 220, I: 52, J: 14
i: 323, j: 227, I: 52, J: 14
i: 321, j: 227, I: 52, J: 16
i: 323, j: 227, I: 52, J: 16
i: 323, j: 228, I: 52, J: 16
i: 326, j: 156, I: 52, J: 16
i: 329, j: 156, I: 52, J: 16
i: 326, j: 232, I: 52, J: 16
i: 322, j: 227, I: 52, J: 16
i: 324, j: 228, I: 52, J: 16
i: 324, j: 151, I: 52, J: 16
i: 322, j: 160, I: 52, J: 18
i: 321, j: 160, I: 52, J: 18
i: 322, j: 155, I: 52, J: 18
i: 321, j: 155, I: 52, J: 18
i: 324, j: 155, I: 52, J: 18
i: 324, j: 160, I: 52, J: 18
i: 326, j: 159, I: 52, J: 18
i: 326, j: 156, I: 52, J: 19
i: 329, j: 156, I: 52, J: 19
i: 329, j: 152, I: 52, J: 20
i: 324, j: 151, I: 52, J: 20
i: 324, j: 242, I: 52, J: 20
i: 323, j: 152, I: 52, J: 20
i: 324, j: 152, I: 52, J: 20
i: 321, j: 242, I: 52, J: 20
i: 321, j: 241, I: 52, J: 20
i: 329, j: 242, I: 52, J: 20
i: 326, j: 156, I: 52, J: 20
i: 329, j: 156, I: 52, J: 20
i: 329, j: 156, I: 52, J: 21
i: 329, j: 152, I: 52, J: 21
i: 329, j: 242, I: 52, J: 21
i: 321, j: 242, I: 52, J: 21
i: 322, j: 155, I: 52, J: 21
i: 324, j: 242, I: 52, J: 21
i: 323, j: 152, I: 52, J: 21
i: 324, j: 243, I: 52, J: 21
i: 324, j: 155, I: 52, J: 21
i: 325, j: 243, I: 52, J: 21
i: 321, j: 155, I: 52, J: 21
i: 324, j: 152, I: 52, J: 21
i: 326, j: 156, I: 52, J: 21
i: 324, j: 153, I: 52, J: 21
i: 324, j: 166, I: 52, J: 22
i: 321, j: 167, I: 52, J: 22
i: 324, j: 124, I: 52, J: 22
i: 321, j: 166, I: 52, J: 22
i: 325, j: 125, I: 52, J: 22
i: 326, j: 167, I: 52, J: 22
i: 321, j: 164, I: 52, J: 22
i: 323, j: 124, I: 52, J: 22
i: 322, j: 126, I: 52, J: 22
