population	links	time	detected	infected	error_detected	error_infected
188361	2000	41	574.833	14320.9	48.7254	1424.61
188361	2000	42	568.917	14442.3	51.8605	1455.88
188361	2000	43	565.5	14521.2	49.1505	1452.53
188361	2000	44	548.75	14589.4	48.8512	1453.43
188361	2000	45	543.292	14608.5	49.8886	1453.64
188361	2000	46	525.417	14605.2	50.2038	1447.35
188361	2000	47	512.667	14583.7	47.1971	1438.97
188361	2000	48	505.583	14535.3	50.2473	1420.16
188361	2000	49	489.875	14478.8	46.8374	1394.79
188361	2000	50	479.292	14380.3	51.7223	1366.46
188361	2000	51	459.917	14265.6	49.9725	1338.61
188361	2000	52	449.792	14160.8	50.1232	1303.62
188361	2000	53	440	14036.3	52.1386	1262.44
188361	2000	54	431.083	13911.8	51.3563	1229.87
188361	2000	55	408.167	13746.5	55.6309	1196.12
188361	2000	56	402.417	13578.9	52.8263	1149.29
188361	2000	57	384.833	13406.2	54.1308	1115.39
188361	2000	58	374.458	13209	49.8718	1067.99
188361	2000	59	357.75	13037.2	54.7453	1022.74
188361	2000	60	342.417	12827.6	51.7955	983.295
188361	2000	61	331	12622.8	48.8469	952.582
188361	2000	62	315.25	12431.3	50.8769	909.341
188361	2000	63	303.167	12238.6	50.2279	876.972
188361	2000	64	287.458	12013.3	46.8413	824.838
188361	2000	65	283.375	11779.5	45.9679	786.12
188361	2000	66	265.708	11575.5	44.4306	735.093
188361	2000	67	256.625	11354.9	45.2521	694.739
188361	2000	68	242.958	11154.3	45.5126	653.482
188361	2000	69	231.833	10917.8	44.7616	622.708
188361	2000	70	218.958	10680.9	42.2077	596.443
188361	2000	71	211.25	10475.9	40.6965	570.806
188361	2000	72	198.667	10260.7	39.6697	550.55
188361	2000	73	186.333	10043.3	39.8863	534.733
188361	2000	74	178.333	9833.46	38.4304	510.393
188361	2000	75	169.792	9614.54	38.8947	502.354
188361	2000	76	158.917	9397.29	34.9617	492.582
188361	2000	77	151.167	9185.5	36.6898	497.415
188361	2000	78	150.042	9006.54	35.7449	489.008
188361	2000	79	139.875	8786.21	33.396	484.421
188361	2000	80	130.417	8581.58	27.8908	475.47
188361	2000	81	121.833	8383.71	29.5322	477.329
188361	2000	82	117.917	8187.62	30.2567	468.816
188361	2000	83	109.75	8010.5	25.2512	471.539
188361	2000	84	103.542	7819.25	25.1584	468.855
188361	2000	85	102	7622.75	25.827	461.475
188361	2000	86	91.9167	7446.75	24.6763	460.73
188361	2000	87	85.5833	7271.21	22.3515	459.144
188361	2000	88	84.2917	7096.25	23.8154	458.992
188361	2000	89	76.5833	6910.5	20.4534	453.33
188361	2000	90	76.25	6739.67	23.372	458.552
188361	2000	91	69.3333	6578.79	19.0861	448.118
188361	2000	92	67.6667	6428.21	18.6296	445.432
188361	2000	93	61.625	6263.12	18.4566	444.46
188361	2000	94	60.5833	6102.67	19.7425	443.4
188361	2000	95	59.5	5954.46	18.8544	437.065
188361	2000	96	53.5417	5807.62	18.7117	433.977
188361	2000	97	51.6667	5660.71	18.2918	435.265
188361	2000	98	49.1667	5520.88	16.2029	426.686
188361	2000	99	47.1667	5383.79	14.602	422.94
188361	2000	100	44.3333	5278.62	12.515	419.554
188361	2000	101	41.5417	5151.62	14.205	417.57
188361	2000	102	41.2917	5033.96	13.0335	416.173
188361	2000	103	37.6667	4908.62	11.82	405.841
188361	2000	104	35.125	4784.54	11.5059	403.317
188361	2000	105	34.1667	4668.75	9.4439	400.111
188361	2000	106	32.2917	4557.75	9.65943	389.252
188361	2000	107	31.5417	4441.71	10.506	384.728
188361	2000	108	30.2917	4330.08	9.37869	382.126
188361	2000	109	27.8333	4231.58	9.72419	377.578
188361	2000	110	27.7917	4129.58	9.57804	378.079
188361	2000	111	30.3333	4043.62	7.97	372.016
188361	2000	112	25.7083	3952.92	8.66435	364.558
188361	2000	113	24.8333	3867.62	7.23685	357.533
188361	2000	114	22.5417	3782.83	7.53397	348.931
188361	2000	115	24.125	3689.79	5.24348	342.916
188361	2000	116	21.1667	3600.79	5.31644	333.525
188361	2000	117	22.3333	3517.67	5.96422	327.39
188361	2000	118	20.2917	3429.25	5.72951	320.303
188361	2000	119	19.4583	3358.29	4.531	313.634
188361	2000	120	19.5	3280.75	4.9071	308.481
188361	2000	121	17.9583	3202.12	4.95154	307.626
188361	2000	122	18.125	3122.33	4.7913	305.776
188361	2000	123	15.5417	3049.38	4.61169	301.537
188361	2000	124	16.9583	2986.25	4.93465	294.193
188361	2000	125	16.5	2913.88	4.21431	284.835
188361	2000	126	15.6667	2850.92	4.14885	282.305
188361	2000	127	14.1667	2788.96	2.69462	278.442
188361	2000	128	15	2719.12	3.18541	274.33
188361	2000	129	13.5417	2657.46	2.77933	269.071
188361	2000	130	14.3333	2588.88	2.57578	269.291
188361	2000	131	12.4583	2532	2.4634	265.422
188361	2000	132	12.5833	2475.04	2.57646	259.876
188361	2000	133	12.7917	2418.67	2.69543	259.971
188361	2000	134	11.8333	2364.88	2.9955	259.195
188361	2000	135	11.2917	2308	2.30731	251.629
188361	2000	136	13.0833	2257.46	2.65626	247.028
188361	2000	137	11.4167	2207.04	2.44621	244.92
188361	2000	138	10.5417	2159.25	1.74184	241.13
188361	2000	139	10.2083	2117.79	2.44639	237.259
188361	2000	140	9.45833	2063.62	2.2353	230.266
188361	2000	141	9.95833	2014.29	1.68291	225.322
188361	2000	142	7.91667	1970.92	1.63865	221.478
188361	2000	143	8.58333	1921.75	1.62586	221.482
188361	2000	144	8.54167	1890.54	1.66001	217.927
188361	2000	145	8.54167	1842.46	1.71365	217.309
188361	2000	146	9.16667	1804.96	2.20296	214.62
188361	2000	147	6.95833	1760.54	1.75973	212.519
188361	2000	148	9.33333	1721.96	1.96591	209.589
188361	2000	149	8.04167	1690.46	1.67462	207.879
188361	2000	150	7.66667	1650	1.78013	207.604
188361	2000	151	6.58333	1605.58	1.16145	205.702
188361	2000	152	7.875	1575.54	1.97525	203.141
188361	2000	153	7.41667	1542.29	1.73358	199.254
188361	2000	154	7.20833	1510.08	1.6642	198.022
188361	2000	155	5.5	1480.25	1.45453	194.196
188361	2000	156	5.70833	1443.54	1.33205	193.123
188361	2000	157	6.25	1410.71	1.7902	188.575
188361	2000	158	6.41667	1380.75	1.44934	184.161
188361	2000	159	5.79167	1351.62	1.18554	182.52
188361	2000	160	5.08333	1322.46	1.03469	181.932
188361	2000	161	5.58333	1298.96	1.17929	177.469
188361	2000	162	5.95833	1265.5	1.07793	176.035
188361	2000	163	5.95833	1239.21	1.35279	172.009
188361	2000	164	5.16667	1216	1.0126	171.07
188361	2000	165	6.25	1196.08	1.80953	163.606
188361	2000	166	4.875	1162.29	1.24473	161.783
188361	2000	167	5.625	1138.88	1.33379	157.149
188361	2000	168	5.25	1109.08	0.960272	155.184
188361	2000	169	4.83333	1086.5	0.970485	154.856
188361	2000	170	4.875	1061.75	0.820033	149.692
188361	2000	171	4.08333	1038.38	1.0005	148.883
188361	2000	172	4.54167	1017.5	1.16183	146.012
188361	2000	173	4.125	996.458	0.908604	141.479
188361	2000	174	4.125	974.75	1.14574	141.217
188361	2000	175	3.625	954.375	1.0407	138.478
188361	2000	176	4.58333	929.458	0.993518	136.78
188361	2000	177	4.25	912.417	0.960272	135.274
188361	2000	178	3.66667	892.083	0.848021	133.716
188361	2000	179	3.5	875.792	1.08129	131.186
282667	3000	0	2.04167	0	0.55936	0
282667	3000	1	2.33333	704.458	0.620555	9.85875
282667	3000	2	3.08333	567.375	0.790688	8.76524
282667	3000	3	2.45833	612.375	0.645968	9.88331
282667	3000	4	3.08333	615.333	0.666516	11.4795
282667	3000	5	3.54167	636.917	0.858725	14.1731
282667	3000	6	4.875	660.583	0.605177	15.3571
282667	3000	7	6.70833	695.333	1.07145	17.2453
282667	3000	8	8.25	744	1.36697	19.6174
282667	3000	9	9.5	804.542	1.93499	21.6167
282667	3000	10	12.2083	870.667	1.89493	29.5783
282667	3000	11	16.5	959.875	3.07649	33.6365
282667	3000	12	20.8333	1063.75	3.64716	39.8215
282667	3000	13	26.7083	1195.25	4.87791	50.8821
282667	3000	14	35.4583	1363.96	6.49306	61.4206
282667	3000	15	47.0833	1571.67	7.81948	79.2898
282667	3000	16	62.625	1842.46	10.4208	103.097
282667	3000	17	80.0417	2191.79	13.1837	135.207
282667	3000	18	111.917	2621.17	18.2214	175.5
282667	3000	19	142.042	3178.25	24.5569	233.618
282667	3000	20	180.167	3869.38	30.6229	305.537
282667	3000	21	227.375	4753.5	33.0966	403.394
282667	3000	22	244.917	5801.54	32.144	501.461
282667	3000	23	273.167	6876.42	29.8099	534.526
282667	3000	24	308.708	7442.92	27.1389	467.041
282667	3000	25	325.75	8204.46	29.2786	451.726
282667	3000	26	350.667	8786.92	26.3048	378.906
282667	3000	27	376.708	9425.79	26.7028	414.128
282667	3000	28	394.917	10006.5	29.2083	522.669
282667	3000	29	418.875	10445.9	26.5181	514.682
282667	3000	30	434.667	10900.7	26.7461	540.65
282667	3000	31	457.583	11358.9	25.1758	568.516
282667	3000	32	467.667	11763.7	28.2137	595.395
282667	3000	33	478.167	12172.2	30.0901	629.151
282667	3000	34	479.833	12545	28.7863	648.025
282667	3000	35	480.833	12859.1	29.102	677.24
282667	3000	36	483.458	13140.9	31.4865	709.352
282667	3000	37	485.542	13379.9	32.12	737.429
282667	3000	38	480.75	13596	34.1398	758.332
282667	3000	39	473.75	13767.4	32.9299	783.926
282667	3000	40	469.833	13918.8	31.4158	801.552
282667	3000	41	458.417	14026	30.966	815.243
282667	3000	42	451.875	14109.8	33.1032	821.752
282667	3000	43	439.375	14125.3	36.477	819.948
282667	3000	44	425.708	14160.5	32.7475	838.476
282667	3000	45	421.417	14139.2	29.2374	828.749
282667	3000	46	406.292	14105.6	29.7762	832.161
282667	3000	47	388.917	14053.6	29.4068	805.337
282667	3000	48	375.708	13972.5	29.0434	798.023
282667	3000	49	364.875	13887	28.837	775.65
282667	3000	50	347.042	13766.7	27.1556	763.368
282667	3000	51	334.333	13671.9	26.1687	745.74
282667	3000	52	320.167	13510.4	24.8829	713.297
282667	3000	53	316.125	13374.7	27.4411	696.726
282667	3000	54	311.167	13198.5	26.7328	680.997
282667	3000	55	285.208	13032.7	21.1707	672.753
282667	3000	56	282.042	12845.9	23.0007	655.174
282667	3000	57	270.542	12648.5	23.6795	631.185
282667	3000	58	246.333	12447.3	21.9727	608.16
282667	3000	59	241.958	12268.9	18.4527	592.576
282667	3000	60	231.375	12077.8	23.4892	591.843
282667	3000	61	223.333	11894.4	23.0425	595.343
282667	3000	62	218.083	11677.5	24.8141	592.982
282667	3000	63	201.625	11495	21.2723	583.375
282667	3000	64	191.417	11281.2	20.2599	579.712
282667	3000	65	189.625	11087.6	23.6165	572.263
282667	3000	66	176.583	10883.9	22.6613	570.132
282667	3000	67	170.25	10691.4	23.1707	558.875
282667	3000	68	162.917	10478.6	23.3075	559.082
282667	3000	69	154.792	10282.2	24.1207	553.081
282667	3000	70	148.625	10095.1	21.0775	547.01
