beta	population	links	attackRate	error
3	6.13119e+06	49058	7492.5	1008.05
3	6.21772e+06	50750	7471.21	998.392
3	6.26408e+06	52441	7737.79	926.488
3	6.30383e+06	54133	7478.79	1018.15
3	6.35252e+06	55825	7753.88	940.254
3	6.43541e+06	57517	8278.42	698.236
3.25	320647	3383	2683.54	14.6478
3.25	549654	5075	2689.71	26.195
3.25	747440	6766	2732.96	51.5406
3.25	961081	8458	3314.17	322.965
3.25	1.21668e+06	10150	4833.92	681.803
3.25	1.40578e+06	11841	5264.54	823.047
3.25	1.57934e+06	13533	5736.54	889.228
3.25	1.83623e+06	15225	6423.88	883.666
3.25	2.05858e+06	16916	6847.54	873.191
3.25	2.33126e+06	18608	6348.62	1062.33
3.25	2.63366e+06	20300	7611.75	774.793
3.25	2.88785e+06	21991	6730.25	1076.06
3.25	3.06082e+06	23683	8005.75	660.517
3.25	3.30626e+06	25375	7346.33	990.166
3.25	3.50389e+06	27066	7636.79	911.026
3.25	3.79999e+06	28758	6935.92	1117.4
3.25	4.02734e+06	30450	7944.71	811.623
3.25	4.23921e+06	32141	6968.58	1133.35
3.25	4.45972e+06	33833	7742.12	935.757
3.25	4.66174e+06	35525	8024.5	828.13
3.25	4.82206e+06	37216	7267.46	1083.87
3.25	5.05282e+06	38908	8305.17	695.206
3.25	5.35506e+06	40600	7821.54	939.928
3.25	5.53195e+06	42291	7840.67	943.151
3.25	5.68707e+06	43983	8108	845.299
3.25	5.84476e+06	45675	8114.79	837.104
3.25	5.98567e+06	47366	8397.92	706.766
3.25	6.13119e+06	49058	8140.71	850.493
3.25	6.21772e+06	50750	7895.79	952.897
3.25	6.26408e+06	52441	7613.83	1044.93
3.25	6.30383e+06	54133	7370.88	1112.26
3.25	6.35252e+06	55825	7615.83	1039.01
3.25	6.43541e+06	57517	8417.75	704.893
3.5	320647	3383	2683.08	22.789
3.5	549654	5075	2692.62	19.9281
3.5	747440	6766	2719.42	32.1613
3.5	961081	8458	3705.67	488.303
3.5	1.21668e+06	10150	5792.08	657.816
3.5	1.40578e+06	11841	6465.83	689.286
3.5	1.57934e+06	13533	6179.33	917.799
3.5	1.83623e+06	15225	7143.29	820.18
3.5	2.05858e+06	16916	7095.83	925.778
3.5	2.33126e+06	18608	7705.79	771.25
3.5	2.63366e+06	20300	7347.17	979.894
3.5	2.88785e+06	21991	8173.38	678.649
3.5	3.06082e+06	23683	7680.83	912.407
3.5	3.30626e+06	25375	7990.83	821.78
3.5	3.50389e+06	27066	7275.88	1092.72
3.5	3.79999e+06	28758	8071.92	836.174
3.5	4.02734e+06	30450	7091.88	1155.45
3.5	4.23921e+06	32141	8389.33	707.928
3.5	4.45972e+06	33833	8158.96	850.759
