beta	population	links	attackRate	error
3	1.7585e+06	14411	112525	698.427
3	1.78067e+06	14862	114684	564.697
3	1.8199e+06	15312	117302	575.763
3.25	222177	900	105344	1293.49
3.25	310149	1351	52031.7	882.855
3.25	379042	1801	4299.83	222.246
3.25	414054	2251	3796.04	207.822
3.25	467456	2702	3226.29	88.8004
3.25	498911	3152	3008.92	104.29
3.25	572728	3602	2720.12	69.2449
3.25	641643	4053	2828.33	87.3409
3.25	697607	4503	2802.92	70.5098
3.25	775786	4954	2856.83	95.9389
3.25	840964	5404	3417.54	239.113
3.25	899757	5854	5974.33	1111.26
3.25	938853	6305	11720.8	1782.9
3.25	976286	6755	23587.7	1976.86
3.25	1.03053e+06	7205	37021.6	1549.48
3.25	1.08826e+06	7656	49811.2	752.667
3.25	1.14687e+06	8106	59003.2	499.438
3.25	1.19607e+06	8556	65956.3	698.514
3.25	1.26112e+06	9007	75586.8	774.392
3.25	1.29805e+06	9457	80281	732.329
3.25	1.33142e+06	9908	84968.4	766.086
3.25	1.40341e+06	10358	95073.1	740.112
3.25	1.43229e+06	10808	99021.9	669.865
3.25	1.47713e+06	11259	104993	588.759
3.25	1.51409e+06	11709	109428	523.325
3.25	1.5496e+06	12159	113977	632.045
3.25	1.58975e+06	12610	117967	598.767
3.25	1.62116e+06	13060	120425	546.741
3.25	1.67586e+06	13510	126425	437.73
3.25	1.7311e+06	13961	131246	685.391
3.25	1.7585e+06	14411	133475	584.642
3.25	1.78067e+06	14862	135668	515.889
3.25	1.8199e+06	15312	138004	441.666
3.5	222177	900	147198	1467.91
3.5	310149	1351	85146.5	1012.82
3.5	379042	1801	9615.71	1146.64
3.5	414054	2251	6475.29	939.27
3.5	467456	2702	4627.67	305.942
3.5	498911	3152	3536.33	222.892
3.5	572728	3602	3018.62	80.267
3.5	641643	4053	3026.75	96.4362
3.5	697607	4503	3027.29	121.852
3.5	775786	4954	3313.92	130.69
3.5	840964	5404	6345.92	1271.62
3.5	899757	5854	21140.1	2843.89
3.5	938853	6305	35319	1139.26
3.5	976286	6755	43741.4	816.069
3.5	1.03053e+06	7205	55042.8	524.162
3.5	1.08826e+06	7656	65499.2	677.877
3.5	1.14687e+06	8106	75007.5	681.79
3.5	1.19607e+06	8556	82925.6	882.435
3.5	1.26112e+06	9007	94855.5	959.926
3.5	1.29805e+06	9457	100560	975.097
3.5	1.33142e+06	9908	106172	567.09
3.5	1.40341e+06	10358	116063	594.166
3.5	1.43229e+06	10808	120008	567.908
3.5	1.47713e+06	11259	125750	690.832
3.5	1.51409e+06	11709	129541	736.403
3.5	1.5496e+06	12159	132992	543.728
3.5	1.58975e+06	12610	137470	456.048
3.5	1.62116e+06	13060	140930	463.062
3.5	1.67586e+06	13510	145208	414.481
3.5	1.7311e+06	13961	150595	475.495
3.5	1.7585e+06	14411	152309	572.903
3.5	1.78067e+06	14862	154460	567.507
3.5	1.8199e+06	15312	157695	544.38
3.75	222177	900	199534	1135.91
3.75	310149	1351	129761	1815.18
3.75	379042	1801	28381	1894.68
3.75	414054	2251	18290.5	2448.11
3.75	467456	2702	7454.88	858.4
3.75	498911	3152	5042.92	495.466
3.75	572728	3602	3470.58	170.053
3.75	641643	4053	3323.17	90.2571
3.75	697607	4503	3436.83	134.457
